WatReqID,PlanningUnitID,Rationale,WReq_FISH,WReq_VEG,WReq_WBIRD,WReq_OTHER,CompliancePoint/Node,Condition,StartWateringPeriod,EndWateringPeriod,FlowComponent,BPFlowComponent,FlowMagnitude,WateringFrequency,WateringDuration,WateringDepth/height_m AHD,MaxIntervalBtwnEvents,Additional requirements/Notes
Ra_0000001,PU_0000155,Native Fish Habitat,TRUE,FALSE,FALSE,FALSE,,,September,December,,N/A,50 ML/d,Daily,4 months between Sep and Dec each year,,,
Ra_0000002,PU_0000155,Native Fish Passage,TRUE,FALSE,FALSE,FALSE,,,January,December,,N/A,40 ML/d,Daily,year round,,,
Ra_0000003,PU_0000156,Native Fish Habitat,TRUE,FALSE,FALSE,FALSE,,,September,December,,N/A,250 ML/d,Daily,4 months between Sep and Dec each year,,,
Ra_0000004,PU_0000156,Native Fish Passage,TRUE,FALSE,FALSE,FALSE,,,January,December,,N/A,40 ML/d,Daily,year round,,,
Ra_0000005,PU_0000157,Minimise the growth of Azolla and algae,FALSE,FALSE,FALSE,TRUE,,,June,November,,N/A,80 ML/d,Daily,6 months between June and November,,,
Ra_0000006,PU_0000157,Maintain dissolved oxygen above 5 mg/L,FALSE,FALSE,FALSE,TRUE,,,December,March,,N/A,100 ML/d,Daily,4 months between December and March,,,
Ra_0000007,PU_0000157,Provisional DO and Azolla flows,FALSE,FALSE,FALSE,TRUE,,Low DO readings / excessive Azolla growth,June,December,,N/A,200 ML/d,Daily,8 months of the year -- June to March -- but only if required,,,These are provisional flows triggered by low DO readings or excessive Azolla growth
Ra_0000008,PU_0000157,Native Fish Habitat,TRUE,FALSE,FALSE,FALSE,,,September,December,,N/A,250 ML/d,Daily,4 months between September and December,,,
Ra_0000009,PU_0000157,Native Fish Passage,TRUE,FALSE,FALSE,FALSE,,,N/A,N/A,,N/A,40 ML/d,,year round,,,
Ra_0000010,PU_0000211,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,August,October,Spring-summer modified fresh – Spring ramp-up,Fresh,<100 ML/day rate during ramp up and down to integrate with preceding and proceeding flows. Ramp up needs to provide a pulse larger than that of the preceding flow (i.e. if base flows is 250 ML/day pulse may be >450 ML/day) to trigger objective; No prescribed flow as targeting flows in lower reaches,"1 event per year, every 2 in 3 years",10–15 days to ramp up,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
