,NodeType,Env_obj,Env_obj_main,Target,Env_obj_number,Objective,Target.species,PU,link
1789,Environmental objective,EF5,EF,Priority ecosystem function,5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Abiotic transportation,Mid.Murray.1,1
2,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Mid.Murray.2,1
3,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Mid.Murray.3,1
4,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Mid.Murray.4,1
5,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Edward.Wakool.5,1
6,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Edward.Wakool.6,1
7,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Edward.Wakool.7,1
8,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Lower.Murray.8,1
9,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Lower.Murray.9,1
10,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Lower.Murray.10,1
11,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Lower.Murray.11,1
12,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Lower.Murray.12,1
13,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Lower.Murray.13,1
14,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Menindee.Lakes.14,1
15,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Menindee.Lakes.15,1
16,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Lower.Darling.River...Darling.Anabranch.16,1
17,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Lower.Darling.River...Darling.Anabranch.17,1
18,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Lower.Darling.River...Darling.Anabranch.18,1
19,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Lower.Darling.River...Darling.Anabranch.19,1
20,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..20,1
21,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..21,1
22,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..22,1
23,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..23,1
24,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..24,1
25,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..25,1
26,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..26,1
27,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..27,1
28,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..28,1
29,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..29,1
30,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..30,1
31,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Upper.Murray..Murray.source.to.Hume.dam..31,1
32,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Mid.Murray.and.Edward.Wakool.32,1
33,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Mid.Murray.and.Edward.Wakool.33,1
34,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Mid.Murray.and.Edward.Wakool.34,1
35,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Mid.Murray.and.Edward.Wakool.35,1
36,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Mid.Murray.and.Edward.Wakool.36,1
37,Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,Lower.Murray.Darling.37,1
1879,Environmental objective,OS1,OS,Other species,1,Maintain species richness of flow-dependent frog communities,All flow-dependent frog species,Mid.Murray.1,1
39,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Mid.Murray.2,1
