scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
base,412002,Upper Lachlan River,BF1_a,,4,67,50,4,0.6666666666666666,4,13,0.6666666666666666,2.1666666666666665,137.84615384615384,1792,1,0,1825
base,412002,Upper Lachlan River,BF1_b,,6,100,100,6,1.0,6,13,1.0,2.1666666666666665,137.84615384615384,1792,1,0,1825
base,412002,Upper Lachlan River,BF2_a,,4,67,50,4,0.6666666666666666,4,6,0.6666666666666666,1.0,176.66666666666666,1060,2,0,1825
base,412002,Upper Lachlan River,BF2_b,,6,100,100,6,1.0,6,6,1.0,1.0,176.66666666666666,1060,2,0,1825
base,412002,Upper Lachlan River,BK1_P,,1,17,50,1,0.16666666666666666,1,3,0.16666666666666666,0.5,2.6666666666666665,8,0,0,1825
base,412002,Upper Lachlan River,BK1_S,,1,17,50,1,0.16666666666666666,1,3,0.16666666666666666,0.5,2.6666666666666665,8,0,0,1825
base,412002,Upper Lachlan River,CF1_b,,0,0,5,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
base,412002,Upper Lachlan River,CF1_c,,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
base,412002,Upper Lachlan River,LF1_P,,1,17,75,1,0.16666666666666666,1,5,0.16666666666666666,0.8333333333333334,7.6,38,2,0,1825
base,412002,Upper Lachlan River,LF1_S,,1,17,75,2,0.3333333333333333,2,10,0.3333333333333333,1.6666666666666667,6.3,63,2,0,1825
base,412002,Upper Lachlan River,LF2,,1,17,40,2,0.3333333333333333,2,4,0.3333333333333333,0.6666666666666666,5.25,21,4,0,1825
base,412002,Upper Lachlan River,OB3_P,,1,17,40,1,0.16666666666666666,1,2,0.16666666666666666,0.3333333333333333,1.5,3,4,0,1825
base,412002,Upper Lachlan River,OB3_S,,1,17,40,1,0.16666666666666666,1,2,0.16666666666666666,0.3333333333333333,1.5,3,4,0,1825
base,412002,Upper Lachlan River,OB4_P,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
base,412002,Upper Lachlan River,OB4_S,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
base,412002,Upper Lachlan River,OB5,,0,0,10,0,0.0,0,0,0.0,0.0,0.0,0,10,0,1825
base,412002,Upper Lachlan River,SF1_P,,6,100,100,7,1.1666666666666667,7,7,1.1666666666666667,1.1666666666666667,143.14285714285714,1002,1,0,1825
