scenarioPath,scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs\down4\down4,down4,412002,Upper Lachlan River,BF1_a,,4,67,50,4,0.6666666666666666,4,29,0.6666666666666666,4.833333333333333,47.3448275862069,1373,1,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,BF1_b,,5,83,100,6,1.0,6,29,1.0,4.833333333333333,47.3448275862069,1373,1,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,BF2_a,,4,67,50,4,0.6666666666666666,4,16,0.6666666666666666,2.6666666666666665,63.0625,1009,2,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,BF2_b,,6,100,100,9,1.5,9,16,1.5,2.6666666666666665,63.0625,1009,2,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,BK1_P,,0,0,50,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,BK1_S,,0,0,50,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,CF1_b,,0,0,5,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,CF1_c,,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,LF1_P,,1,17,75,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,7.0,14,2,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,LF1_S,,1,17,75,2,0.3333333333333333,2,3,0.3333333333333333,0.5,5.0,15,2,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,LF2,,0,0,40,0,0.0,0,1,0.0,0.16666666666666666,1.0,1,4,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,OB3_P,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,OB3_S,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,OB4_P,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,OB4_S,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,OB5,,0,0,10,0,0.0,0,0,0.0,0.0,0.0,0,10,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,SF1_P,,5,83,100,11,1.8333333333333333,11,37,1.8333333333333333,6.166666666666667,9.27027027027027,343,1,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,SF1_S,,6,100,100,16,2.6666666666666665,16,50,2.6666666666666665,8.333333333333334,10.3,515,1,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,SF2,,5,83,75,9,1.5,9,37,1.5,6.166666666666667,9.27027027027027,343,2,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,VF_a,,4,67,50,4,0.6666666666666666,4,20,0.6666666666666666,3.3333333333333335,88.25,1765,1,0,1825
hydrographs\down4\down4,down4,412002,Upper Lachlan River,VF_b,,5,83,100,5,0.8333333333333334,5,20,0.8333333333333334,3.3333333333333335,88.25,1765,1,0,1825
hydrographs\down4\down4,down4,412005,Merrimajeel Creek,OB2,,0,0,55,0,0.0,0,0,0.0,0.0,0.0,0,3,0,1825
hydrographs\down4\down4,down4,412005,Merrimajeel Creek,OB3_P,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412005,Merrimajeel Creek,OB3_S,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412005,Merrimajeel Creek,OB4_P,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,412005,Merrimajeel Creek,OB4_S,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,412005,Merrimajeel Creek,OB5,,0,0,10,0,0.0,0,0,0.0,0.0,0.0,0,10,0,1825
hydrographs\down4\down4,down4,412005,Muggabah Creek,OB2,,0,0,55,0,0.0,0,0,0.0,0.0,0.0,0,3,0,1825
hydrographs\down4\down4,down4,412005,Muggabah Creek,OB3_P,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412005,Muggabah Creek,OB3_S,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412005,Muggabah Creek,OB4_P,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,412005,Muggabah Creek,OB4_S,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,412005,Muggabah Creek,OB5,,0,0,10,0,0.0,0,0,0.0,0.0,0.0,0,10,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),BF1_a,,0,0,50,0,0.0,0,15,0.0,2.5,29.133333333333333,437,1,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),BF1_b,,1,17,100,1,0.16666666666666666,1,15,0.16666666666666666,2.5,29.133333333333333,437,1,0,1825
