Planning_area,EWR,Objectives
Lachlan,CF1,"NF1,EF1,EF2,NV1"
Lachlan,CF1_a,"NF1,EF1,EF2,NV1"
Lachlan,CF1_b,"NF1,EF1,EF2,NV1"
Lachlan,CF1_c,"NF1,EF1,EF2,NV1"
Lachlan,VF_b,"NF1,EF1,EF2"
Lachlan,VF_a,"NF1,EF1,EF2"
Lachlan,BF1,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NF9,NV1,NV2,EF1,EF2,EF3a,OS4"
Lachlan,BF1_b,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NF9,NV1,NV2,EF1,EF2,EF3a,OS4"
Lachlan,BF1_a,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NF9,NV1,NV2,EF1,EF2,EF3a,OS4"
Lachlan,BF2,"NF1,NF2,NF5,NF6,NF8,NF9,EF1,EF2,EF3a"
Lachlan,BF2_b,"NF1,NF2,NF5,NF6,NF8,NF9,EF1,EF2,EF3a"
Lachlan,BF2_a,"NF1,NF2,NF5,NF6,NF8,NF9,EF1,EF2,EF3a"
Lachlan,SF1_P,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NF9,NV1,EF1,EF2,EF3a,EF5,OS4"
Lachlan,SF1_S,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NF9,NV1,EF1,EF2,EF3a,EF5,OS4"
Lachlan,SF2,"NF1,NF2,NF5,NF6,NF8,NV1,EF1,EF2,EF3a,EF5,OS4"
Lachlan,SF3,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NF9,NV1,NV2,EF1,EF2,EF3a,EF5"
Lachlan,SF3_P,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NF9,NV1,NV2,EF1,EF2,EF3a,EF5"
Lachlan,SF3_S,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NF9,NV1,NV2,EF1,EF2,EF3a,EF5"
Lachlan,LF1_S,"NF1,NF2,NF4,NF5,NF6,NF8,NF9,NV1,EF2,EF3a,EF4,EF5,EF6,OS1,OS2"
Lachlan,LF1_P,"NF1,NF2,NF4,NF5,NF6,NF8,NF9,NV1,EF2,EF3a,EF4,EF5,EF6,OS1,OS2"
Lachlan,LF2,"NF1,NF4,NF6,NF9,NV1,EF2,EF3a,EF4,EF5,EF6,OS1,OS2"
Lachlan,LF3_S,"NF1,NF2,NF4,NF5,NF6,NF8,NF9,NV1,NV2,EF2,EF3a,EF4,EF5,EF6,OS1,OS2"
Lachlan,LF3_P,"NF1,NF2,NF4,NF5,NF6,NF8,NF9,NV1,NV2,EF2,EF3a,EF4,EF5,EF6,OS1,OS2"
Lachlan,BK1,"NV1,NV2,NV3,EF1,EF2,EF3,EF4,EF5,EF6,OS4"
Lachlan,BK1_S,"NV1,NV2,NV3,EF1,EF2,EF3,EF4,EF5,EF6,OS4"
Lachlan,BK1_P,"NV1,NV2,NV3,EF1,EF2,EF3,EF4,EF5,EF6,OS4"
Lachlan,WL1_S,"NF1,NF3,NF7,NV1,NV2,WB1,WB2,WB3,WB4,WB5,EF1,EF2,EF3,EF4,EF5,EF6,OS1,OS2"
Lachlan,WL1_P,"NF1,NF3,NF7,NV1,NV2,WB1,WB2,WB3,WB4,WB5,EF1,EF2,EF3,EF4,EF5,EF6,OS1,OS2"
Lachlan,WL2_S,"NF1,NF3,NF7,NV1,NV2,NV4b,NV4e,WB1,WB2,WB3,WB4,WB5,EF2,EF3,EF5,EF6,OS1,OS2"
Lachlan,WL2_P,"NF1,NF3,NF7,NV1,NV2,NV4b,NV4e,WB1,WB2,WB3,WB4,WB5,EF2,EF3,EF5,EF6,OS1,OS2"
Lachlan,WL3_S,"NF1,NF3,NF7,NV1,NV2,NV4b,NV4e,WB1,WB2,WB3,WB4,WB5,EF2,EF3a,EF3b,EF4,EF5,EF6,OS1,OS2"
Lachlan,WL3_P,"NF1,NF3,NF7,NV1,NV2,NV4b,NV4e,WB1,WB2,WB3,WB4,WB5,EF2,EF3a,EF3b,EF4,EF5,EF6,OS1,OS2"
Lachlan,WL4,"NV1,NV2,NV4b,NV4c,NV4e,WB1,WB2,WB3,WB4,WB5,EF2,EF3a,EF3b,EF4,EF5,EF6,OS1,OS2"
Lachlan,OB1_P,"NF1,NF3,NF7,NV3,NV4a,NV4c,EB1,WB2,WB5,EF1,EF2,EF3,EF5,EF6,OS1,OS2"
Lachlan,OB1_S,"NF1,NF3,NF7,NV3,NV4a,NV4c,EB1,WB2,WB5,EF1,EF2,EF3,EF5,EF6,OS1,OS2"
Lachlan,OB2,"NF1,NF3,NF7,NV4a,NV4b,NV4c,WB1,WB2,WB3,WB5,EF2,EF3,EF4,EF5,EF6,OS1,OS2"
Lachlan,OB3_S,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NF9,NV4a,WB5,EF2,EF3,EF5,OS1,OS2"
Lachlan,OB3_P,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NF9,NV4a,WB5,EF2,EF3,EF5,OS1,OS2"
Lachlan,OB4_S,"NV4b,NV4c,WB1,WB2,WB3,WB4,WB5,EF2,EF3,EF4,EF5,EF6,OS1,OS2,NF3,NF5"
Lachlan,OB4_P,"NV4b,NV4c,WB1,WB2,WB3,WB4,WB5,EF2,EF3,EF4,EF5,EF6,OS1,OS2,NF3,NF5"
Lachlan,OB5,"NV4b,WB1,WB2,WB3,WB4,WB5,EF2,EF3,EF4,EF5,EF6,OS1,OS2,NF3,NF5"
Gwydir,CF1,"NF1,EF1,EF2"
Gwydir,CF1_hot,"NF1,EF1,EF2"
Gwydir,CF1_cool,"NF1,EF1,EF2"
Gwydir,VF_b,"NF1,EF1,EF2,OS4"
Gwydir,VF_a,"NF1,EF1,EF2,OS4"
Gwydir,BF1_b,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NV1,NV2,EF1,EF2,EF3a,OS4"
Gwydir,BF1_a,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NV1,NV2,EF1,EF2,EF3a,OS4"
Gwydir,BF2_b,"NF1,NF2,NF5,NF6,NF8,EF1,EF2,EF3a,EF3b,EF7"
Gwydir,BF2_a,"NF1,NF2,NF5,NF6,NF8,EF1,EF2,EF3a,EF3b,EF7"
Gwydir,SF1_P,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NV1,EF1,EF2,EF3a,EF5,OS4"
Gwydir,SF1_S,"NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NV1,EF1,EF2,EF3a,EF5,OS4"
Gwydir,SF2,"NF1,NF2,NF5,NF6,NF8,NV1,EF1,EF2,EF3a,EF5,OS4"
Gwydir,SF3_P,"NF1,NF4,NF6,NV1,EF2,EF3a,EF3b,EF5,EF7"
Gwydir,SF3_S,"NF1,NF4,NF6,NV1,EF2,EF3a,EF3b,EF5,EF7"
Gwydir,LF1_P,"NF1,NF2,NF4,NF5,NF6,NF8,NV1,EF2, EF3a,EF4,EF5,EF6,OS1,OS2,OS4"
Gwydir,LF1_S,"NF1,NF2,NF4,NF5,NF6,NF8,NV1,EF2, EF3a,EF4,EF5,EF6,OS1,OS2,OS4"
Gwydir,LF2,"NF1,NF4,NF6,NV1,EF2,EF3a,EF4,EF5,EF6,OS1,OS2"
