NodeType,Env_obj,Env_obj_main,Target,Env_obj_number,Objective,Target species,Murray Lower Darling,Macquarie-Castlereagh,Murrumbidgee
Environmental objective,NF1,NF,Native fish,1,No loss of native fish species,All recorded fish species,1,1,1
Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,1,1,1
Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,carp gudgeon (species complex),1,1,1
Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,1,1,1
Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,1,1,1
Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,bony herring,1,1,1
Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Murray–Darling rainbowfish,1,1,1
Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,unspecked hardyhead,1,1,1
Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,mountain galaxias (species complex),1,1,1
Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,climbing galaxias,1,0,0
Environmental objective,NF3,NF,Native fish,3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,southern pygmy perch1,1,0,1
Environmental objective,NF3,NF,Native fish,3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Murray hardyhead,1,0,1
Environmental objective,NF3,NF,Native fish,3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,olive perchlet,1,1,1
Environmental objective,NF3,NF,Native fish,3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,flathead galaxias,1,1,1
Environmental objective,NF3,NF,Native fish,3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,purple- spotted gudgeon1,1,0,0
Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,golden perch,1,1,1
Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,1,1,1
Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,spangled perch,0,1,0
Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Hyrtl’s tandan,0,1,0
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,1,1,1
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,1,0,1
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,1,0,1
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,northern river blackfish,0,1,0
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,long-finned eel,0,1,0
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,1,0,1
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,two-spined blackfish,1,0,1
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,freshwater catfish (eel-tailed catfish),1,1,0
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray crayfish,1,0,1
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,southern pygmy perch,1,0,0
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,purple-spotted gudgeon,1,1,0
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,olive perchlet,1,0,1
Environmental objective,NF6,NF,Native fish,6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,golden perch,1,1,1
Environmental objective,NF6,NF,Native fish,6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Murray cod,1,1,1
Environmental objective,NF7,NF,Native fish,7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),flathead galaxias,1,1,1
Environmental objective,NF7,NF,Native fish,7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Murray hardyhead,1,0,1
Environmental objective,NF7,NF,Native fish,7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),southern pygmy perch,1,0,1
Environmental objective,NF7,NF,Native fish,7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),olive perchlet,1,1,1
Environmental objective,NF7,NF,Native fish,7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),purple-spotted gudgeon,1,0,1
Environmental objective,NF8,NF,Native fish,8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),trout cod,1,1,1
Environmental objective,NF8,NF,Native fish,8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Macquarie perch,1,1,1
Environmental objective,NF8,NF,Native fish,8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),freshwater catfish,1,0,1
Environmental objective,NF8,NF,Native fish,8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),two-spined blackfish,1,0,0
Environmental objective,NF8,NF,Native fish,8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Murray crayfish,1,0,0
Environmental objective,NF8,NF,Native fish,8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),purple-spotted gudgeon,1,1,1
Environmental objective,NF8,NF,Native fish,8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),olive perchlet,1,0,1
Environmental objective,NF9,NF,Native fish,9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),silver perch,1,0,1
Environmental objective,NF10,NF,Native fish,10,Increase the prevalence and/or expand the population of key moderate to long-lived diadromous native fish species into new areas,short-headed lamprey,1,0,1
Environmental objective,NF10,NF,Native fish,10,Increase the prevalence and/or expand the population of key moderate to long-lived diadromous native fish species into new areas,pouched lamprey,1,0,0
Environmental objective,NF10,NF,Native fish,10,Increase the prevalence and/or expand the population of key moderate to long-lived diadromous native fish species into new areas,short-finned eel,1,0,0
Environmental objective,NV1,NV,Native vegetation,1,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Non-woody vegetation communities,1,1,1
Environmental objective,NV2a,NV,Native vegetation,2a,Maintain or increase the extent & maintain the viability of non-woody vegetation communities occurring in wetlands & on floodplains,"Non-woody vegetation communities within semi-permanent, intermittent, temporal & ephemeral wetland & floodplain areas",1,1,1
