,PlanningUnitName,LTWPShortName,PU
36,Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NA
41,Boorooma to Brewarrina,Barwon-Darling,NA
44,Bourke to Louth,Barwon-Darling,NA
42,Brewarrina to Culgoa River Junction,Barwon-Darling,NA
38,Collarenebri to Upstream Walgett Weir,Barwon-Darling,NA
43,Culgoa River Junction to Bourke,Barwon-Darling,NA
37,Downstream Mogil Mogil to Collarenebri,Barwon-Darling,NA
40,Downstream Walgett to Boorooma,Barwon-Darling,NA
45,Louth to Tilpa,Barwon-Darling,NA
35,Mungindi to Boomi River confluence,Barwon-Darling,NA
46,Tilpa to Wilcannia,Barwon-Darling,NA
39,Walgett Weir Pool,Barwon-Darling,NA
47,Wilcannia to Upstream Lake Wetherell,Barwon-Darling,NA
108,Ballin Boora Creek,Gwydir,NA
17,Carole Creek,Gwydir,NA
100,Central Gingham,Gwydir,NA
93,Central Lower Gwydir,Gwydir,NA
13,Central Mehi,Gwydir,NA
92,Goonal Creek,Gwydir,NA
9,Gwydir River downstream of Copeton Dam,Gwydir,NA
95,Lower Gingham,Gwydir,NA
11,Lower Gwydir,Gwydir,NA
14,Lower Mehi,Gwydir,NA
10,Main Gwydir River,Gwydir,NA
99,Mallowa Creek,Gwydir,NA
15,Moomin Creek,Gwydir,NA
91,Tarren Creek,Gwydir,NA
16,Upper Gingham,Gwydir,NA
12,Upper Mehi,Gwydir,NA
96,Western Gingham Floodplain,Gwydir,NA
94,Western Gwydir Floodplain,Gwydir,NA
18,Belubula River,Lachlan,NA
23,Booberoi Creek,Lachlan,NA
22,Lachlan River (Condobolin to Lake Cargelligo),Lachlan,NA
20,Lachlan River (Forbes to Condobolin),Lachlan,NA
24,Lachlan River (Lake Cargelligo to Willandra Weir),Lachlan,NA
111,Lake Cargelligo,Lachlan,NA
25,Lower Lachlan watercourse,Lachlan,NA
101,Merrimajeel Creek,Lachlan,NA
97,Merrowie Creek,Lachlan,NA
21,Mid Lachlan anabranches,Lachlan,NA
102,Muggabah Creek ,Lachlan,NA
109,Upper and Mid Lachlan floodplain,Lachlan,NA
19,Upper Lachlan River,Lachlan,NA
26,Western Lachlan watercourse (inc. The Great Cumbung Swamp),Lachlan,NA
89,Willandra Creek,Lachlan,NA
105,Castlereagh River below Coonamble,Macquarie-Castlereagh,NA
27,Cudgegong Regulated River,Macquarie-Castlereagh,NA
107,Eastern Macquarie Marshes,Macquarie-Castlereagh,NA
33,Lower Bogan River,Macquarie-Castlereagh,NA
32,Lower Macquarie,Macquarie-Castlereagh,NA
34,Marthaguy Creek,Macquarie-Castlereagh,NA
106,Northern Macquarie Marshes,Macquarie-Castlereagh,NA
29,Regulated Macquarie River ñ Baroona to Warren Weir,Macquarie-Castlereagh,NA
28,Regulated Macquarie River ñ Burrendong Dam to Baroona,Macquarie-Castlereagh,NA
31,Southern Macquarie Marshes,Macquarie-Castlereagh,NA
30,Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,NA
90,Darling Anabranch,Murray Lower Darling,Lower.Darling.River...Darling.Anabranch.19
61,Edward River ñ Stevens Weir to Wakool River,Murray Lower Darling,Edward.Wakool.5
103,"Lake Wetherell and Menindee top lakes (Tandure, Bijijie, Balaka and Malta)",Murray Lower Darling,Menindee.Lakes.14
98,Lower Darling River ? Weir 32 to downstream of Burtundy,Murray Lower Darling,Lower.Darling.River...Darling.Anabranch.16
88,Lower Darling River ñ Weir 32 to downstream of Burtundy,Murray Lower Darling,Lower.Darling.River...Darling.Anabranch.16
104,Menindee Lakes system,Murray Lower Darling,Menindee.Lakes.15
