scenarioPath,scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,multigauge
hydrographs\base\base,base,421004,Baroona to Warren Weir,CF,2019,2019-09-14,2019-12-31,109,109,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-01-02,2015-02-01,31,31,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-02-04,2015-02-04,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-02-07,2015-02-09,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-02-11,2015-02-12,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-02-15,2015-02-27,13,13,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-03-01,2015-03-06,6,6,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-03-09,2015-03-10,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-03-12,2015-03-26,15,15,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-03-28,2015-04-07,11,11,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-04-10,2015-04-10,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-04-23,2015-04-27,5,5,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-05-15,2015-05-21,7,7,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2014,2015-06-20,2015-06-23,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2015-07-17,2015-09-12,58,58,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2015-09-18,2015-10-12,25,25,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2015-11-04,2015-11-11,8,8,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2015-11-30,2015-12-09,10,10,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2015-12-11,2016-01-13,34,34,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2016-01-16,2016-02-04,20,20,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2016-02-15,2016-02-21,7,7,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2016-02-24,2016-02-26,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2016-02-29,2016-03-01,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2016-03-12,2016-03-25,14,14,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2016-04-18,2016-04-20,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2015,2016-04-22,2016-06-30,70,70,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2016,2016-07-01,2017-02-22,237,237,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2016,2017-02-24,2017-02-26,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2016,2017-03-02,2017-03-02,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2016,2017-03-04,2017-03-07,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2016,2017-03-10,2017-03-12,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2016,2017-03-14,2017-05-17,65,65,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2017,2017-07-15,2017-11-11,120,120,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2017,2017-11-18,2017-12-22,35,35,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2017,2017-12-24,2018-03-01,68,68,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2017,2018-03-08,2018-03-12,5,5,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2017,2018-04-19,2018-04-30,12,12,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2017,2018-05-05,2018-05-06,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2017,2018-05-11,2018-05-21,11,11,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2017,2018-05-25,2018-05-25,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2017,2018-05-27,2018-06-14,19,19,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2018,2018-07-21,2019-01-29,193,193,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2018,2019-02-02,2019-02-15,14,14,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2018,2019-02-21,2019-02-26,6,6,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2018,2019-03-01,2019-03-04,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2018,2019-03-07,2019-03-08,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2018,2019-03-29,2019-03-30,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_a,2018,2019-04-05,2019-04-08,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-01-02,2015-02-01,31,31,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-02-04,2015-02-04,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-02-07,2015-02-09,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-02-11,2015-02-12,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-02-15,2015-02-27,13,13,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-03-01,2015-03-06,6,6,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-03-09,2015-03-10,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-03-12,2015-03-26,15,15,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-03-28,2015-04-07,11,11,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-04-10,2015-04-10,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-04-23,2015-04-27,5,5,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-05-15,2015-05-21,7,7,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2014,2015-06-20,2015-06-23,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2015,2015-07-17,2015-09-12,58,58,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2015,2015-09-18,2015-10-12,25,25,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2015,2015-11-04,2015-11-11,8,8,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2015,2015-11-30,2015-12-09,10,10,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2015,2015-12-11,2016-01-13,34,34,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2015,2016-01-16,2016-02-04,20,20,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2015,2016-02-15,2016-02-21,7,7,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF1_b,2015,2016-02-24,2016-02-26,3,3,
