scenarioPath,scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,multigauge
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,CF,2019,2019-09-14,2019-12-31,109,109,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2014,2015-06-20,2015-06-21,2,2,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2015,2015-07-19,2015-07-25,7,7,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2015,2015-08-05,2015-08-31,27,27,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2015,2015-09-20,2015-10-06,17,17,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2015,2015-11-09,2015-11-09,1,1,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2015,2016-01-30,2016-02-01,3,3,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2015,2016-06-07,2016-06-09,3,3,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2015,2016-06-21,2016-06-30,10,10,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2016,2016-07-01,2017-02-12,227,227,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2016,2017-03-17,2017-03-17,1,1,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2016,2017-03-27,2017-04-06,11,11,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2016,2017-04-15,2017-04-27,13,13,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2016,2017-04-30,2017-05-02,3,3,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2017,2017-08-12,2017-11-06,87,87,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2017,2017-11-26,2017-12-07,12,12,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2017,2017-12-16,2017-12-16,1,1,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2017,2017-12-19,2017-12-21,3,3,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2017,2017-12-25,2018-02-02,40,40,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2017,2018-02-04,2018-02-09,6,6,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2017,2018-02-18,2018-02-21,4,4,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2017,2018-02-24,2018-02-26,3,3,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2018,2018-08-23,2018-10-22,61,61,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2018,2018-10-25,2018-11-22,29,29,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2018,2018-12-05,2018-12-06,2,2,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2018,2018-12-25,2018-12-27,3,3,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2018,2019-01-01,2019-01-04,4,4,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2018,2019-01-08,2019-01-12,5,5,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2018,2019-01-19,2019-01-19,1,1,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_a,2018,2019-04-05,2019-04-06,2,2,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2014,2015-06-20,2015-06-21,2,2,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2015,2015-07-19,2015-07-25,7,7,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2015,2015-08-05,2015-08-31,27,27,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2015,2015-09-20,2015-10-06,17,17,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2015,2015-11-09,2015-11-09,1,1,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2015,2016-01-30,2016-02-01,3,3,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2015,2016-06-07,2016-06-09,3,3,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2015,2016-06-21,2016-06-30,10,10,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2016,2016-07-01,2017-02-12,227,227,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2016,2017-03-17,2017-03-17,1,1,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2016,2017-03-27,2017-04-06,11,11,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2016,2017-04-15,2017-04-27,13,13,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2016,2017-04-30,2017-05-02,3,3,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2017,2017-08-12,2017-11-06,87,87,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2017,2017-11-26,2017-12-07,12,12,
hydrographs\down4\down4,down4,421004,Baroona to Warren Weir,BF1_b,2017,2017-12-16,2017-12-16,1,1,
