scenarioPath,scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,multigauge
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,CF,2019,2019-09-14,2019-12-31,109,109,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2014,2015-01-02,2015-06-03,153,153,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2014,2015-06-07,2015-06-07,1,1,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2014,2015-06-12,2015-06-14,3,3,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2014,2015-06-16,2015-06-30,15,15,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2015,2015-07-01,2015-07-07,7,7,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2015,2015-07-10,2015-10-23,106,106,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2015,2015-10-25,2016-02-11,110,110,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2015,2016-02-13,2016-06-30,139,139,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2016,2016-07-01,2017-05-18,322,322,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2016,2017-05-21,2017-06-06,17,17,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2016,2017-06-10,2017-06-13,4,4,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2016,2017-06-19,2017-06-24,6,6,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2016,2017-06-26,2017-06-30,5,5,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2017,2017-07-01,2017-11-16,139,139,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2017,2017-11-18,2018-03-01,104,104,
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,2017,2018-03-08,2018-03-17,10,10,
