scenarioPath,scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs\up4\up4,up4,412002,Upper Lachlan River,BF1_a,,4,67,50,4,0.6666666666666666,4,8,0.6666666666666666,1.3333333333333333,227.875,1823,1,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,BF1_b,,6,100,100,6,1.0,6,8,1.0,1.3333333333333333,227.875,1823,1,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,BF2_a,,4,67,50,4,0.6666666666666666,4,6,0.6666666666666666,1.0,176.66666666666666,1060,2,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,BF2_b,,6,100,100,6,1.0,6,6,1.0,1.0,176.66666666666666,1060,2,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,BK1_P,,2,33,50,2,0.3333333333333333,2,6,0.3333333333333333,1.0,1.3333333333333333,8,0,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,BK1_S,,2,33,50,2,0.3333333333333333,2,6,0.3333333333333333,1.0,1.3333333333333333,8,0,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,CF1_b,,0,0,5,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,CF1_c,,0,0,0.7,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,LF1_P,,5,83,75,8,1.3333333333333333,8,16,1.3333333333333333,2.6666666666666665,11.3125,181,2,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,LF1_S,,6,100,75,32,5.333333333333333,32,52,5.333333333333333,8.666666666666666,13.288461538461538,691,2,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,LF2,,6,100,40,24,4.0,24,35,4.0,5.833333333333333,13.82857142857143,484,4,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,OB3_P,,1,17,40,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,18.0,36,4,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,OB3_S,,1,17,40,2,0.3333333333333333,2,3,0.3333333333333333,0.5,12.333333333333334,37,4,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,OB4_P,,1,17,25,3,0.5,3,3,0.5,0.5,5.666666666666667,17,5,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,OB4_S,,1,17,25,3,0.5,3,3,0.5,0.5,5.666666666666667,17,5,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,OB5,,1,17,10,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,5.5,11,10,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,SF1_P,,6,100,100,6,1.0,6,6,1.0,1.0,176.66666666666666,1060,1,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,SF1_S,,6,100,100,7,1.1666666666666667,7,8,1.1666666666666667,1.3333333333333333,227.875,1823,1,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,SF2,,6,100,75,6,1.0,6,6,1.0,1.0,176.66666666666666,1060,2,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,VF_a,,4,67,50,4,0.6666666666666666,4,8,0.6666666666666666,1.3333333333333333,227.875,1823,1,0,1825
hydrographs\up4\up4,up4,412002,Upper Lachlan River,VF_b,,6,100,100,6,1.0,6,8,1.0,1.3333333333333333,227.875,1823,1,0,1825
hydrographs\up4\up4,up4,412005,Merrimajeel Creek,OB2,,3,50,55,3,0.5,3,6,0.5,1.0,22.5,135,3,0,1825
hydrographs\up4\up4,up4,412005,Merrimajeel Creek,OB3_P,,2,33,40,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,92.0,184,4,0,1825
hydrographs\up4\up4,up4,412005,Merrimajeel Creek,OB3_S,,2,33,40,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,95.5,191,4,0,1825
hydrographs\up4\up4,up4,412005,Merrimajeel Creek,OB4_P,,2,33,25,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,74.0,148,5,0,1825
hydrographs\up4\up4,up4,412005,Merrimajeel Creek,OB4_S,,2,33,25,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,91.5,183,5,0,1825
hydrographs\up4\up4,up4,412005,Merrimajeel Creek,OB5,,2,33,10,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,85.5,171,10,0,1825
hydrographs\up4\up4,up4,412005,Muggabah Creek,OB2,,3,50,55,3,0.5,3,6,0.5,1.0,37.333333333333336,224,3,0,1825
hydrographs\up4\up4,up4,412005,Muggabah Creek,OB3_P,,2,33,40,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,92.0,184,4,0,1825
hydrographs\up4\up4,up4,412005,Muggabah Creek,OB3_S,,2,33,40,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,95.5,191,4,0,1825
hydrographs\up4\up4,up4,412005,Muggabah Creek,OB4_P,,2,33,25,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,74.0,148,5,0,1825
hydrographs\up4\up4,up4,412005,Muggabah Creek,OB4_S,,2,33,25,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,91.5,183,5,0,1825
hydrographs\up4\up4,up4,412005,Muggabah Creek,OB5,,2,33,10,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,85.5,171,10,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),BF1_a,,4,67,50,4,0.6666666666666666,4,8,0.6666666666666666,1.3333333333333333,227.5,1820,1,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),BF1_b,,6,100,100,6,1.0,6,8,1.0,1.3333333333333333,227.5,1820,1,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),BF2_a,,4,67,50,4,0.6666666666666666,4,7,0.6666666666666666,1.1666666666666667,151.0,1057,2,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),BF2_b,,6,100,100,6,1.0,6,7,1.0,1.1666666666666667,151.0,1057,2,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),BK1_P,,1,17,60,1,0.16666666666666666,1,10,0.16666666666666666,1.6666666666666667,4.8,48,0,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),BK1_S,,1,17,60,1,0.16666666666666666,1,12,0.16666666666666666,2.0,4.25,51,0,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),CF1_b,,0,0,5,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),CF1_c,,0,0,44,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),LF1_P,,3,50,75,3,0.5,3,3,0.5,0.5,44.666666666666664,134,2,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),LF1_S,,6,100,75,16,2.6666666666666665,16,22,2.6666666666666665,3.6666666666666665,22.863636363636363,503,2,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),LF2,,6,100,40,13,2.1666666666666665,13,20,2.1666666666666665,3.3333333333333335,16.9,338,4,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB2,,1,17,55,1,0.16666666666666666,1,6,0.16666666666666666,1.0,22.5,135,3,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB3_P,,2,33,40,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,92.0,184,4,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB3_S,,2,33,40,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,95.5,191,4,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB4_P,,2,33,25,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,74.0,148,5,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB4_S,,2,33,25,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,91.5,183,5,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB5,,2,33,10,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,85.5,171,10,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),SF1_P,,6,100,100,17,2.8333333333333335,17,26,2.8333333333333335,4.333333333333333,37.38461538461539,972,1,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),SF1_S,,6,100,100,22,3.6666666666666665,22,51,3.6666666666666665,8.5,26.254901960784313,1339,1,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),SF2,,6,100,75,15,2.5,15,26,2.5,4.333333333333333,37.38461538461539,972,2,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),VF_a,,4,67,50,4,0.6666666666666666,4,6,0.6666666666666666,1.0,304.1666666666667,1825,1,0,1825
hydrographs\up4\up4,up4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),VF_b,,4,67,100,4,0.6666666666666666,4,6,0.6666666666666666,1.0,304.1666666666667,1825,1,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF1_a,,4,67,50,4,0.6666666666666666,4,7,0.6666666666666666,1.1666666666666667,260.42857142857144,1823,1,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF1_b,,6,100,100,6,1.0,6,7,1.0,1.1666666666666667,260.42857142857144,1823,1,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF2_a,,4,67,50,4,0.6666666666666666,4,6,0.6666666666666666,1.0,176.66666666666666,1060,2,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF2_b,,6,100,100,6,1.0,6,6,1.0,1.0,176.66666666666666,1060,2,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BK1_P,,4,67,70,10,1.6666666666666667,10,22,1.6666666666666667,3.6666666666666665,14.727272727272727,324,0,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BK1_S,,4,67,70,10,1.6666666666666667,10,23,1.6666666666666667,3.8333333333333335,15.130434782608695,348,0,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,CF1_b,,0,0,5,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,CF1_c,,0,0,4,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,LF1_P,,4,67,75,5,0.8333333333333334,5,8,0.8333333333333334,1.3333333333333333,21.625,173,2,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,LF1_S,,6,100,75,16,2.6666666666666665,16,41,2.6666666666666665,6.833333333333333,16.21951219512195,665,2,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,LF2,,6,100,40,13,2.1666666666666665,13,30,2.1666666666666665,5.0,15.6,468,4,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB1_P,,4,67,75,10,1.6666666666666667,10,22,1.6666666666666667,3.6666666666666665,13.318181818181818,293,2,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB1_S,,4,67,75,10,1.6666666666666667,10,23,1.6666666666666667,3.8333333333333335,15.130434782608695,348,2,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB2,,1,17,55,1,0.16666666666666666,1,3,0.16666666666666666,0.5,32.333333333333336,97,3,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB3_P,,2,33,40,3,0.5,3,3,0.5,0.5,54.0,162,4,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB3_S,,2,33,40,3,0.5,3,3,0.5,0.5,59.0,177,4,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB4_P,,2,33,25,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,56.5,113,5,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB4_S,,2,33,25,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,79.5,159,5,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,OB5,,1,17,10,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,67.5,135,10,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,SF1_P,,6,100,100,7,1.1666666666666667,7,8,1.1666666666666667,1.3333333333333333,130.375,1043,1,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,SF1_S,,6,100,100,11,1.8333333333333333,11,15,1.8333333333333333,2.5,119.26666666666667,1789,1,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,SF2,,6,100,75,7,1.1666666666666667,7,8,1.1666666666666667,1.3333333333333333,130.375,1043,2,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,VF_a,,4,67,50,4,0.6666666666666666,4,6,0.6666666666666666,1.0,304.1666666666667,1825,1,0,1825
hydrographs\up4\up4,up4,412038,Lachlan River - Lake Cargelligo to Willandra Weir,VF_b,,4,67,100,4,0.6666666666666666,4,6,0.6666666666666666,1.0,304.1666666666667,1825,1,0,1825
hydrographs\up4\up4,up4,412038,Merrowie Creek,OB1_P,,5,83,75,14,2.3333333333333335,14,21,2.3333333333333335,3.5,18.761904761904763,394,2,0,1825
hydrographs\up4\up4,up4,412038,Merrowie Creek,OB1_S,,5,83,75,16,2.6666666666666665,16,22,2.6666666666666665,3.6666666666666665,22.09090909090909,486,2,0,1825
hydrographs\up4\up4,up4,412038,Merrowie Creek,OB2,,2,33,55,2,0.3333333333333333,2,5,0.3333333333333333,0.8333333333333334,39.4,197,3,0,1825
hydrographs\up4\up4,up4,412038,Merrowie Creek,OB3_P,,2,33,40,2,0.3333333333333333,2,3,0.3333333333333333,0.5,57.666666666666664,173,4,0,1825
hydrographs\up4\up4,up4,412038,Merrowie Creek,OB3_S,,2,33,40,2,0.3333333333333333,2,3,0.3333333333333333,0.5,63.0,189,4,0,1825
hydrographs\up4\up4,up4,412038,Merrowie Creek,OB4_P,,2,33,25,3,0.5,3,3,0.5,0.5,43.666666666666664,131,5,0,1825
hydrographs\up4\up4,up4,412038,Merrowie Creek,OB4_S,,2,33,25,3,0.5,3,3,0.5,0.5,59.0,177,5,0,1825
hydrographs\up4\up4,up4,412038,Merrowie Creek,OB5,,1,17,10,1,0.16666666666666666,1,3,0.16666666666666666,0.5,54.333333333333336,163,10,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,BF1_a,,4,67,50,4,0.6666666666666666,4,12,0.6666666666666666,2.0,147.33333333333334,1768,0.128767,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,BF1_b,,4,67,100,4,0.6666666666666666,4,12,0.6666666666666666,2.0,147.33333333333334,1768,0.128767,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,BF2_a,,4,67,50,4,0.6666666666666666,4,9,0.6666666666666666,1.5,117.33333333333333,1056,2,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,BF2_b,,4,67,75,4,0.6666666666666666,4,9,0.6666666666666666,1.5,117.33333333333333,1056,2,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,CF,,1,17,0,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,26.0,26,0,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,LF1,,4,67,75,16,2.6666666666666665,16,27,2.6666666666666665,4.5,20.555555555555557,555,2,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,LF2,,3,50,40,11,1.8333333333333333,11,20,1.8333333333333333,3.3333333333333335,18.6,372,4,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,OB/WS3,,1,17,25,3,0.5,3,6,0.5,1.0,5.0,30,5,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,SF1,,6,100,1000,12,2.0,12,20,2.0,3.3333333333333335,82.4,1648,1,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,SF2,,6,100,75,10,1.6666666666666667,10,36,1.6666666666666667,6.0,18.47222222222222,665,2,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,,4,67,50,4,0.6666666666666666,4,30,0.6666666666666666,5.0,50.36666666666667,1511,0.10137,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_b,,5,83,100,5,0.8333333333333334,5,30,0.8333333333333334,5.0,50.36666666666667,1511,0.10137,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF2_a,,4,67,50,4,0.6666666666666666,4,12,0.6666666666666666,2.0,76.0,912,2,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF2_b,,4,67,75,4,0.6666666666666666,4,12,0.6666666666666666,2.0,76.0,912,2,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,CF,,1,17,0,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,109.0,109,0,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,LF1,,4,67,75,17,2.8333333333333335,17,30,2.8333333333333335,5.0,17.633333333333333,529,2,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,LF2,,4,67,40,12,2.0,12,23,2.0,3.8333333333333335,13.08695652173913,301,4,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,OB/WL,,2,33,25,5,0.8333333333333334,5,7,0.8333333333333334,1.1666666666666667,14.428571428571429,101,10,0,1825
